City,Pop.,Lattitude,Longitude
Tokyo,37400068,35.675099,139.393288
Delhi,28514000,24.734319,81.334404
Shanghai,25582000,31.246027,121.483385
São Paulo,21650000,-21.034508,-41.073083
Mexico City,21581000,19.371422,-99.150344
Cairo,20076000,19.510216,-99.028468
Mumbai,19980000,19.10109,72.875449
Beijing,19618000,40.253703,116.396636
Dhaka,19578000,23.7104,90.40744
Osaka,19281000,34.691802,135.50506
New York,18819000,40.68295,-73.9708
Karachi,15400000,24.865645,67.01523
Buenos Aires,14967000,-34.607357,-58.454595
Chongqing,14838000,29.565015,106.548238
Istanbul,14751000,41.01384,28.94966
Kolkata,14681000,22.608067,88.419453
Manila,13482000,28.82828,-111.952847
Lagos,13463000,-34.439482,-71.069706
Rio de Janeiro,13293000,-22.935024,-43.518246
Tianjin,13215000,39.107355,117.185182
